"ONEBANKLTD","One Bank Limited"
"ORIONINFU","Orion Infusion Ltd."
"ORIONPHARM","Orion Pharma Ltd."
"PADMALIFE","Padma Islami Life Insurance Limited"
"PADMAOIL","Padma Oil Co. Ltd."
"PARAMOUNT","Paramount Insurance Company Ltd."
"PDL","Pacific Denims Limited"
"PENINSULA","The Peninsula Chittagong Limited"
"PEOPLESINS","Peoples Insurance Company Ltd."
"PF1STMF","Phoenix Finance 1st Mutual Fund"
"PHARMAID","Pharma Aids"
"PHENIXINS","Phoenix Insurance Company Ltd."
"PHOENIXFIN","Phoenix Finance and Investments Ltd."
"PHPMF1","PHP First Mutual Fund"
"PIONEERINS","Pioneer Insurance Comapny Ltd."
"PLFSL","Peoples Leasing and Fin. Services Ltd."
"POPULAR1MF","Popular Life First Mutual Fund"
"POPULARLIF","Popular Life Insurance Co. Ltd."
"POWERGRID","Power Grid Company of Bangladesh Ltd."
"PRAGATIINS","Pragati Insurance Ltd"
"PRAGATILIF","Pragati Life Insurance Ltd."
"PREMIERBAN","Premier Bank Ltd."
"PREMIERCEM","Premier Cement Mills Limited"
"PREMIERLEA","Premier Leasing & Finance Limited"
"PRIME1ICBA","Prime Bank 1st ICB AMCL Mutual Fund"
"PRIMEBANK","Prime Bank Ltd."
"PRIMEFIN","Prime Finance & Investment Ltd."
"PRIMEINSUR","Prime Insurance Company Ltd."
"PRIMELIFE","Prime Islami Life Insurance Ltd."
"PRIMETEX","Prime Textile Spinning Mills Limited"
"PROGRESLIF","Progressive Life Insurance Co. Ltd."
"PROVATIINS","Provati Insurance Company Limited"
"PTL","Paramount Textile Limited"
"PUBALIBANK","Pubali Bank Ltd."
"PURABIGEN","Purabi Gen. Insurance Company Ltd."
"QUASEMIND","Quasem Industries Ltd."
"QUEENSOUTH","Queen South Textile Mills Limited"
"RAHIMAFOOD","Rahima Food Corporation Ltd."
"RAHIMTEXT","Rahim Textile Mills Ltd."
"RAKCERAMIC","RAK Ceramics (Bangladesh) Limited"
"RANFOUNDRY","Rangpur Foundry Ltd."
"RDFOOD","Rangpur Dairy & Food Products Ltd."
"RECKITTBEN","Reckitt Benckiser(Bd.)Ltd."
"REGENTTEX","Regent Textile Mills Limited"
"RELIANCE1","""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
"RELIANCINS","Reliance Insurance Ltd."
"RENATA","Renata Ltd."
"RENWICKJA","Renwick Jajneswar & Co (Bd) Ltd."
"REPUBLIC","Republic Insurance Company Limited"
"RNSPIN","R.N. Spinning Mills Limited"
"RSRMSTEEL","Ratanpur Steel Re-Rolling Mills Limited"
"RUPALIBANK","Rupali Bank Ltd."
"RUPALIINS","Rupali Insurance Company Ltd."
"RUPALILIFE","Rupali Life Insurance Company Limited"
"SAFKOSPINN","Safko Spinnings Mills Ltd."
"SAIFPOWER","SAIF Powertec Limited"
"SAIHAMCOT","Saiham Cotton Mills Limited"
